Geo Point;Geo Shape;gml_id;ident;nom;type;observation;rive;subdivision;brigade;trafic_velo;trafic_pieton;trafic_total;millesime;photo;pdf
48.179525955807804, -3.8071126329257114;"{""coordinates"": [-3.807112632925711, 48.179525955807804], ""type"": ""Point""}";ecocompteur_vn.ECOC_14;ECOC_14;Bizernig - Chateauneuf-du-F.;Eco-compteur;"Compteur ""Région""";Droite;Blavet_NantesàBrest;;16167;40291;54802;2016;;
48.19331424455589, -3.9811692555966456;"{""coordinates"": [-3.981169255596646, 48.19331424455589], ""type"": ""Point""}";ecocompteur_vn.ECOC_15;ECOC_15;Pont-Coblant;Eco-compteur;;Droite;Blavet_NantesàBrest;;21502;45737;65097;2016;;
47.79613238340947, -1.8407108806618306;"{""coordinates"": [-1.840710880661831, 47.79613238340947], ""type"": ""Point""}";ecocompteur_vn.ECOC_03;ECOC_03;Malon - Guipry;Eco-compteur;"Compteur ""Région""";Droite;Vilaine_IlleetRance;Redon;8060;40558;47443;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_03.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_03.pdf
47.80774181701845, -2.3526603452036676;"{""coordinates"": [-2.352660345203668, 47.80774181701845], ""type"": ""Point""}";ecocompteur_vn.ECOC_08;ECOC_08;Foveno - Saint-Congard;Eco-compteur;"Compteur ""Région""";Droite;Blavet_NantesàBrest;Josselin;49357;16706;60535;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_08.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_08.pdf
48.154859610804586, -3.010947220633557;"{""coordinates"": [-3.010947220633557, 48.154859610804586], ""type"": ""Point""}";ecocompteur_vn.ECOC_10;ECOC_10;Bolloré - Neulliac;Eco-compteur;"Compteur ""Région""";Gauche;Blavet_NantesàBrest;Pontivy;30546;17127;44436;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_10.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_10.pdf
48.0216019652575, -2.974548973560835;"{""coordinates"": [-2.974548973560835, 48.0216019652575], ""type"": ""Point""}";ecocompteur_vn.ECOC_11;ECOC_11;Le Gohazé - Pontivy;Eco-compteur;"Compteur ""Région""";Gauche;Blavet_NantesàBrest;Pontivy;22922;33365;54101;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_11.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_11.pdf
47.81970485193184, -3.2546706088882886;"{""coordinates"": [-3.254670608888289, 47.81970485193184], ""type"": ""Point""}";ecocompteur_vn.ECOC_13;ECOC_13;Grand Barrage - Hennebont;Eco-compteur;"Compteur ""Région""";Gauche;Blavet_NantesàBrest;Hennebont;56516;96428;147369;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_13.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_13.pdf
48.095631198971645, -2.7766930449246376;"{""coordinates"": [-2.776693044924638, 48.095631198971645], ""type"": ""Point""}";ecocompteur_vn.ECOC_12;ECOC_12;Coët-Prat - Gueltas;Eco-compteur;"Compteur ""Région""";Gauche;Blavet_NantesàBrest;Pontivy;40682;14846;51130;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_12.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_12.pdf
48.321466701692366, -1.815170470618469;"{""coordinates"": [-1.815170470618469, 48.321466701692366], ""type"": ""Point""}";ecocompteur_vn.ECOC_01;ECOC_01;Moucherie - Tinténiac;Eco-compteur;Compteur propriété du CRT;Droite;Vilaine_IlleetRance;Evran;33941;38299;68525;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_01.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_01.pdf
48.40261624672714, -2.0070467546383663;"{""coordinates"": [-2.007046754638366, 48.40261624672714], ""type"": ""Point""}";ecocompteur_vn.ECOC_04;ECOC_04;Mottay - Calorguen;Eco-compteur;Compteur propriété du CRT;Gauche;Vilaine_IlleetRance;Evran;55464;30376;79581;2016;;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_04.pdf
48.09463708733846, -1.7453420094782734;"{""coordinates"": [-1.745342009478273, 48.09463708733846], ""type"": ""Point""}";ecocompteur_vn.ECOC_06;ECOC_06;Apigné - Rennes;Eco-compteur;"Compteur ""Région""";Gauche;Vilaine_IlleetRance;Mons;0;0;0;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_06.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_06.pdf
47.93643557890801, -2.536140329356345;"{""coordinates"": [-2.536140329356345, 47.93643557890801], ""type"": ""Point""}";ecocompteur_vn.ECOC_09;ECOC_09;Saint-Jouan - Josselin;Eco-compteur;"Compteur ""Région""";Gauche;Blavet_NantesàBrest;Josselin;58053;44361;96115;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_09.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_09.pdf
48.282852306621855, -2.878903312889129;"{""coordinates"": [-2.878903312889129, 48.282852306621855], ""type"": ""Point""}";ecocompteur_vn.ECOC_18;ECOC_18;Merléac;Eco-compteur;Compteur CRT;Droite;;;10805;4852;14747;2016;;
48.25328047808023, -3.5580215186461963;"{""coordinates"": [-3.558021518646196, 48.25328047808023], ""type"": ""Point""}";ecocompteur_vn.ECOC_19;ECOC_19;Pont d'Aulvas - Carhaix;Eco-compteur;"Compteur ""Région""";Droite;Blavet_NantesàBrest;;19494;24704;42126;2016;;
48.25538647239695, -1.666503860330736;"{""coordinates"": [-1.666503860330736, 48.25538647239695], ""type"": ""Point""}";ecocompteur_vn.ECOC_02;ECOC_02;Bouessay - Saint-Germain;Eco-compteur;Compteur propriété du CRT;Gauche;Vilaine_IlleetRance;Saint-Germain;34215;39509;70529;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_02.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_02.pdf
48.47060143653074, -2.0132561349360807;"{""coordinates"": [-2.013256134936081, 48.47060143653074], ""type"": ""Point""}";ecocompteur_vn.ECOC_05;ECOC_05;Asile des pêcheurs - Taden;Eco-compteur;Compteur propriété du CD22;Gauche;Vilaine_IlleetRance;Evran;45677;63800;100319;2016;;
47.68550985656689, -2.1228376489084906;"{""coordinates"": [-2.122837648908491, 47.68550985656689], ""type"": ""Point""}";ecocompteur_vn.ECOC_07;ECOC_07;La potinais - Redon;Eco-compteur;"Compteur ""Région""";Droite;Blavet_NantesàBrest;Redon;46057;32544;73366;2016;http://kartenn.region-bretagne.fr/img/vn/ecocompteurs/ECOC_07.jpg;http://kartenn.region-bretagne.fr/doc/vn/ecocompteurs/ECOC_07.pdf
